0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
-0.25178885,-0.8947886,-0.2098011,-0.9171907,-0.15037802,0.023262054,1.6695265,0.68714476,0.18872987,-0.23186392,-0.33150715,-1.1840594,0.16760017,-0.19755214,-0.75471336,0.35184786,0.7745749,-1.4055294,-1.229423,0.29685804,-2.2507644,-0.3974226,2.1889193,-1.4884307,-3.2249057,-0.5897909,1.0302163,1.8524227,-0.2242509,-1.7223352,-0.6137426,0.44890648,0.43788046,0.8586576,-0.04384513,2.2130616,-0.6446777,-0.56376773,-0.24057353,-0.5967617,0.75576895,0.61054474,-1.0186634,-0.1346704,-0.8203915,-1.2837856,-0.705041,-0.48177564,-1.9857458,2.5956783,-0.15886372,-0.954637,0.0954923,0.5821434,1.287346,0.4685694,-0.68110025,-0.80549073,-2.4745386,0.5688505,-0.8126336,0.5761823,-0.06355633,-0.29391384,-2.170131,-1.0089478,-0.014604682,0.42545056,-0.45126677,-0.096291184,-0.5805109,0.4886403,1.1354544,0.591917,-0.21294473,-0.45948052,-0.90051746,-0.49385855,-0.098639056,0.8062939,-1.388311,1.0528692,-1.3286217,1.298609,0.2135164,-0.8012105,1.5434358,-1.2338706,0.18484357,-0.9312342,0.62666106
-0.6042409,-2.0523849,0.1510623,0.21300995,-1.4373196,-0.123064555,0.60093814,0.4009264,-0.7473849,-1.0132462,-0.32537082,-0.7829541,-0.015994815,0.6391685,0.9065161,1.0184813,-0.78531,-0.8401265,-0.59248364,-0.071469545,0.93362427,1.1728442,0.4418369,-1.9401597,-2.3673208,-0.34572062,0.10891591,1.0462517,0.66441107,-0.18456767,-0.37112612,-0.77271754,-0.8136517,-0.9416465,1.1790061,3.4505308,0.18757057,-0.18612732,0.4512781,-1.5981765,1.7290365,0.5731957,-0.62714046,-1.1296165,-0.1621637,0.53597784,-0.40638927,0.97750163,-0.00067218766,0.05138577,-0.35332417,0.7709541,0.3691094,-0.7418209,0.5440427,-0.7039435,0.16595387,0.13395536,0.061466582,0.938726,0.8533967,-0.80024976,-0.29556787,0.4552036,-0.0074559674,-0.1148777,-0.14442165,0.67621404,0.15565738,0.7037413,0.75419307,-1.2367481,0.1314837,0.096507326,0.030656796,0.044849068,-1.3809881,-2.2906168,-0.74197143,0.6967421,-1.5356276,0.31876758,0.75970364,0.8006016,0.6456553,-0.22357734,0.105264604,-1.0032746,-0.2858999,-0.7072923,1.7108737
0.01063703,0.19452031,-0.06632111,-0.081538774,-1.4335152,0.24474788,1.3203566,0.29408202,-0.29157034,-0.6540689,-0.4387952,-0.79178417,-0.0351735,-1.0937852,0.09816036,1.1736609,-0.5184962,0.7632928,-0.13870361,0.87899464,-0.46908703,0.5349928,1.0294439,-0.8672781,-0.7818665,-0.7231061,1.2497911,0.97129077,-0.32955277,-0.24889077,0.5996228,-0.77969927,0.18883847,0.4051801,0.35575852,2.5002072,0.52371913,0.5575209,0.0079742,0.12561221,0.18961246,0.40730786,0.04173693,-1.0959713,1.1170878,-1.3405834,0.33435294,-0.253227,-0.8625668,-0.64464957,0.39208722,0.14184712,-0.091983244,-0.13822156,0.54795736,0.28799963,0.6506003,0.3709989,-1.265637,0.38569924,0.5046308,0.73192054,-0.46685696,-0.87044823,-1.0378058,-0.7943911,0.07587482,0.38403475,0.047257688,0.056518376,0.42532158,-0.15193582,0.6376673,-0.69383043,-0.53443164,0.4100843,-0.7096573,-0.11352674,-0.03806335,0.46292835,-0.65048337,0.39925238,-0.9742429,-0.3185351,0.43460238,-0.13808246,0.899575,-0.79614174,-0.24834554,-1.0983448,0.52682626
-1.6471003,0.15814996,0.21808252,0.36670533,1.2947148,0.02246408,-0.017118001,-0.3555804,-0.18474342,1.1524304,-0.11699356,1.125562,-0.2535248,0.3457042,0.9667203,0.2532421,-0.09279126,-0.3748914,0.83651286,-0.61222357,0.12605914,0.7641843,-0.1126346,1.3135724,0.3149313,-1.3201283,0.59434223,-1.139429,0.72496825,0.33934873,0.29136145,-1.2655466,-0.49708268,-0.1864243,-0.8857762,0.8031272,0.3666536,0.06758062,-0.10071792,-0.9397712,0.580921,0.023475893,-0.0793396,1.2827593,1.2250271,0.8613108,-1.1598581,0.5813665,-0.8553878,-0.39322343,1.6862748,0.4866605,0.7892844,0.87201273,-1.2439523,-0.22848788,-0.30826643,-0.051153738,-0.33403692,1.3949652,1.9244151,-1.304215,-1.3778065,-0.8968398,-0.6911834,0.1720526,-0.71409386,-0.7299948,-0.40582272,0.9156977,0.22600059,-0.4092998,0.5155194,0.27635816,0.19573553,0.5130866,1.0537077,-0.0018517729,-0.34888288,0.54298127,-0.40699995,-0.7207024,-1.4099447,-0.5323555,0.7492564,-0.5027608,0.015500238,-0.1453534,-1.4378594,-0.85612476,-0.091782436
-0.99828696,-1.2913289,0.5168981,1.0168566,0.5046627,0.030061148,0.2546742,-0.3085713,0.16029927,-0.18202046,-0.23401755,-1.9815938,-0.7707225,-1.0045187,0.21598008,2.1057866,-0.45127982,0.850777,0.6014362,1.0789986,-1.2332256,0.54962635,-0.48549962,-0.1895436,-1.4584295,-0.9632743,1.5191613,1.204454,-0.57452595,-0.34006262,-0.56975514,0.6015854,0.16339476,1.6603893,0.6780764,1.7263885,-0.1879734,-0.969858,-0.25803497,-0.3031042,0.39680088,0.71865124,-0.43703392,-0.46840805,-0.8627978,-0.72836775,-0.6233649,0.39463526,-0.5589875,-1.3394291,1.2990549,-0.8911231,1.1255813,-0.41678622,-0.025745608,-0.34164312,0.69496214,-0.1719391,-0.7131049,0.038921796,0.40254733,-1.0231183,-0.28004766,2.1444767,-1.9941692,-1.0491773,-0.3291155,0.010017477,0.21108891,0.48570904,-0.45254385,0.58925956,-0.17614496,1.552691,-0.07865201,-0.3950297,-0.9406445,-0.50534457,0.4015693,0.07718566,-0.3395845,1.8827535,-0.7103137,-0.027168166,-0.0100824125,-0.54252356,0.13159384,-0.20827177,-1.0092734,-1.8211682,-0.26793683
-0.21682623,-0.75603867,0.19436553,0.68276244,0.82537955,-0.4308844,-0.47433785,-0.45489693,-0.13723065,-0.40594408,0.20853168,0.052418955,0.5621576,-1.1306432,-0.55348283,1.109363,0.70993286,0.51051235,0.14680618,0.11142158,-1.9684952,-0.75370985,0.7032371,-0.109797984,-2.2850897,-0.20859051,0.50044733,-0.77043116,-0.32106894,0.43660736,0.39249566,-0.5993394,-0.27578416,1.6215515,0.49288663,1.4955528,0.32112437,0.16043898,0.07350494,1.1421614,0.22123404,0.39590812,0.3649098,-1.0850306,-0.22859177,-1.5285367,0.23024702,0.8759966,-1.2672675,-0.8316177,-0.36736873,0.3517274,-1.0869029,0.34440008,-0.61774355,0.51402444,0.6586919,0.064177126,0.8026996,-0.8637662,0.5515615,-1.0454257,-0.7114387,0.44709194,-1.7746826,-0.16150957,0.31409252,-0.028676532,0.12943682,0.37524542,-0.12659842,-0.3088517,0.45009035,-0.0079844855,0.51786697,1.1158628,-0.029651228,-0.6589163,-0.022008017,0.2208356,-0.7732458,0.5794724,-0.8686211,-0.71410626,-0.1754446,0.08281198,0.46253884,-2.0512447,-0.3282446,-1.0056164,-0.0103961015
0.12767416,-1.5957109,0.3728731,-0.5057566,-0.80645156,-0.08716082,0.47963527,0.20027825,-0.9039545,0.3509598,-0.012958394,0.6559996,0.51853937,0.06155154,-1.0916306,1.8900472,1.3197545,-0.60257524,0.13005577,-0.43852675,-1.6375438,-0.7386439,1.4525152,0.24277335,-2.9495442,-1.7792772,0.8701265,-0.1503536,-1.5629773,-1.7375363,-0.39124528,-0.12612571,-1.3456618,1.750683,-0.19724566,1.7659264,0.28586426,0.47851866,0.78969795,1.5218196,0.72065735,1.0139439,-1.7106044,-0.1581685,-0.4170645,-1.3309647,-0.106102966,-0.26465744,-0.9562857,-0.6255186,-0.23051089,0.7168207,-0.8228973,0.24576527,0.088902146,0.17475206,-0.24237874,-0.124813445,0.8188718,-0.15965837,0.001759313,0.7505004,0.086576134,-0.41975045,-1.7315328,0.339452,-1.0095414,0.050943106,0.04394642,-1.147149,-0.17438996,-0.802201,1.1805832,0.51847225,0.79606086,0.035975926,-0.0077214018,0.35682547,0.2780601,-0.31436527,-0.45754644,1.9267493,-1.2683265,0.47264004,-0.6633653,-1.497083,0.105438925,-2.5362713,-0.8086908,0.37949502,0.98636043
-0.084799856,-0.40450117,0.25102583,0.3175528,1.0996205,0.456491,-0.4014073,-0.5313982,-0.06315231,0.14951059,1.3151826,0.15085605,0.45522818,0.5665725,0.3005706,0.28489852,0.38178417,-0.09085447,0.305596,0.242767,-0.90927875,0.27949557,-0.1130836,-1.3246778,-1.5818574,0.6402683,-1.3219783,1.0442855,0.29534113,-0.19280414,0.23145404,-0.0054025315,-0.2872427,0.59271115,-0.49851525,3.1028473,-0.70955455,-0.2211141,-0.15100645,-0.79886967,0.07971054,0.6337554,1.0733958,0.070002265,0.30978185,-0.2737543,0.31108004,1.3660197,-0.0004743114,0.33685642,0.35428205,-0.15078257,0.041909073,0.19093522,0.24346246,-0.35199717,-0.08973974,0.5698739,0.3309672,-0.57347834,0.26665422,-0.53025645,-0.3154366,-0.15814386,-0.79171646,-0.3390368,0.17066264,0.29885548,-0.32776,0.25818843,-0.10708195,0.26678666,0.28365448,-0.9960021,-0.86876196,0.16142893,0.10008604,-1.0934901,0.60392064,0.17164534,-0.3455024,1.0383755,-0.10858467,0.07603254,1.1413219,0.042697422,0.4186352,-1.0776083,0.87421656,0.0027080849,0.3963471
1.0331889,-2.372642,0.07579104,0.15797064,0.078237,0.8749527,-0.6141521,0.041315608,-0.56423706,0.3207086,0.30434558,0.46904862,-0.27436754,0.4221744,0.10526159,1.3807257,-0.27521634,0.42486095,0.108557016,-0.4709013,-0.93191856,-0.36826923,-0.06265652,-1.5166755,-2.3086061,0.93026286,0.016964667,1.6897638,0.3734274,0.3423621,0.16211993,0.20650205,-0.5370952,-0.023405302,0.09317118,2.9977474,-0.0091286935,-0.3179814,0.0066661015,-0.69928426,0.33045185,1.8290739,-0.36011094,0.33106953,-0.6129538,0.7206046,-0.1497412,0.92978394,-0.22469357,0.6841698,0.0038759336,-0.019978093,-0.7067891,-1.4759517,0.27813596,-0.11487803,-0.025475224,0.47189823,1.2117933,-0.24690449,0.72469544,-0.16053453,0.044194512,0.5741526,-0.35275817,-0.81894976,0.5364399,0.0585827,-0.16760178,-0.15334064,0.29946977,-0.3349423,0.15056619,-0.16846563,-0.16114989,-0.7763113,-0.15471339,-1.1782889,0.17228684,-0.5544237,-1.3899703,0.26399773,0.71394265,0.180801,-0.17882822,-0.17621602,-0.6025696,-1.0217524,0.5690135,0.031400725,1.19924
-0.68724465,-0.9253427,-0.120136894,0.7850557,-1.4681531,-0.88578975,0.89593744,0.31856462,0.7995251,-0.35876593,-0.91311914,-0.01768666,0.4764244,0.010111379,0.18685728,1.7273098,0.4627516,0.49783635,-0.40286136,-0.5551019,-2.2398815,-0.20923989,2.0033476,0.05097257,-1.8587697,-0.36647254,1.0214833,-1.204147,-0.38244385,-0.93246055,-0.7271833,-1.0710434,0.060259335,-0.08947863,0.7446739,0.942974,0.019367602,0.91606694,0.52381486,-1.0394092,-1.007525,2.2340584,-1.2133191,-0.6589749,1.5317969,0.6644241,-0.26473758,-0.25197446,-2.68513,-0.535502,0.01635858,0.21234944,-0.6064118,0.49280676,0.8419793,0.86443454,1.396131,-0.9444846,-1.3365738,-0.56750923,-0.12817541,0.32833743,-0.8097475,-0.78825194,-1.9246229,0.47905374,0.13501057,0.18776579,-0.041847833,0.6640649,0.8955673,-0.40658903,-0.12061977,0.92001516,0.7975611,-0.0050456896,-0.51812434,-0.5340212,-0.8959124,0.6589324,-1.0284172,-0.7254968,-1.1837832,0.59921324,0.37378186,0.9757294,-0.0035780957,-0.596587,-0.31490842,-1.1730372,1.7460524
